H1 RESULTS
depth         ,expanded_nodes         ,max_fringe_size     ,branching factor
9             ,12                     ,12                  ,1.318
5             ,6                      ,7                   ,1.431
7             ,11                     ,11                  ,1.409
9             ,14                     ,12                  ,1.341
9             ,13                     ,13                  ,1.33
15            ,114                    ,76                  ,1.371
7             ,9                      ,10                  ,1.369
7             ,11                     ,11                  ,1.409
7             ,15                     ,13                  ,1.472
9             ,21                     ,15                  ,1.403
3             ,4                      ,6                   ,1.587
9             ,22                     ,19                  ,1.41
11            ,40                     ,33                  ,1.398
7             ,10                     ,10                  ,1.389
3             ,4                      ,6                   ,1.587
3             ,4                      ,6                   ,1.587
11            ,36                     ,27                  ,1.385
7             ,10                     ,11                  ,1.389
7             ,10                     ,11                  ,1.389
13            ,66                     ,57                  ,1.38
5             ,6                      ,7                   ,1.431
1             ,2                      ,3                   ,2.0
5             ,6                      ,7                   ,1.431
11            ,26                     ,24                  ,1.345
7             ,11                     ,11                  ,1.409
13            ,54                     ,40                  ,1.359
13            ,36                     ,26                  ,1.317
11            ,39                     ,32                  ,1.395
3             ,4                      ,6                   ,1.587
5             ,6                      ,7                   ,1.431
7             ,13                     ,12                  ,1.443
5             ,6                      ,5                   ,1.431
13            ,45                     ,36                  ,1.34
11            ,16                     ,15                  ,1.287
9             ,10                     ,9                   ,1.292
7             ,15                     ,12                  ,1.472
3             ,4                      ,6                   ,1.587
11            ,24                     ,19                  ,1.335
11            ,20                     ,17                  ,1.313
3             ,4                      ,6                   ,1.587
11            ,29                     ,23                  ,1.358
7             ,11                     ,9                   ,1.409
15            ,164                    ,105                 ,1.405
9             ,17                     ,16                  ,1.37
7             ,8                      ,8                   ,1.346
3             ,4                      ,6                   ,1.587
1             ,2                      ,3                   ,2.0
13            ,44                     ,32                  ,1.338
5             ,6                      ,7                   ,1.431
7             ,8                      ,8                   ,1.346
9             ,15                     ,11                  ,1.351
11            ,30                     ,24                  ,1.362
9             ,16                     ,13                  ,1.361
5             ,7                      ,7                   ,1.476
1             ,2                      ,3                   ,2.0
9             ,13                     ,12                  ,1.33
5             ,6                      ,5                   ,1.431
5             ,7                      ,7                   ,1.476
5             ,6                      ,7                   ,1.431
7             ,12                     ,11                  ,1.426
9             ,10                     ,9                   ,1.292
11            ,28                     ,22                  ,1.354
7             ,11                     ,11                  ,1.409
3             ,4                      ,6                   ,1.587
7             ,10                     ,11                  ,1.389
9             ,13                     ,10                  ,1.33
1             ,2                      ,3                   ,2.0
7             ,13                     ,12                  ,1.443
11            ,14                     ,12                  ,1.271
3             ,4                      ,6                   ,1.587
11            ,22                     ,21                  ,1.324
9             ,17                     ,16                  ,1.37
13            ,32                     ,22                  ,1.306
9             ,13                     ,13                  ,1.33
9             ,13                     ,13                  ,1.33
7             ,8                      ,6                   ,1.346
7             ,9                      ,8                   ,1.369
11            ,43                     ,29                  ,1.408
7             ,10                     ,11                  ,1.389
3             ,4                      ,6                   ,1.587
11            ,27                     ,21                  ,1.349
7             ,15                     ,13                  ,1.472
9             ,17                     ,16                  ,1.37
13            ,27                     ,20                  ,1.289
9             ,12                     ,12                  ,1.318
15            ,157                    ,96                  ,1.401
7             ,10                     ,11                  ,1.389
1             ,2                      ,3                   ,2.0
9             ,13                     ,10                  ,1.33
9             ,14                     ,13                  ,1.341
5             ,7                      ,7                   ,1.476
17            ,165                    ,100                 ,1.35
7             ,9                      ,10                  ,1.369
7             ,8                      ,8                   ,1.346
5             ,6                      ,7                   ,1.431
9             ,14                     ,14                  ,1.341
9             ,23                     ,19                  ,1.417
9             ,19                     ,15                  ,1.387
9             ,14                     ,14                  ,1.341
9             ,15                     ,13                  ,1.351
1             ,2                      ,3                   ,2.0
3             ,4                      ,6                   ,1.587
9             ,23                     ,20                  ,1.417
5             ,6                      ,7                   ,1.431
5             ,6                      ,7                   ,1.431
7             ,8                      ,8                   ,1.346
9             ,12                     ,12                  ,1.318
9             ,13                     ,12                  ,1.33
1             ,2                      ,3                   ,2.0
9             ,10                     ,9                   ,1.292
9             ,17                     ,17                  ,1.37
3             ,4                      ,6                   ,1.587
3             ,4                      ,6                   ,1.587
19            ,580                    ,353                 ,1.398
13            ,59                     ,40                  ,1.368
7             ,8                      ,6                   ,1.346
7             ,10                     ,11                  ,1.389
5             ,6                      ,7                   ,1.431
7             ,9                      ,10                  ,1.369
5             ,7                      ,7                   ,1.476
9             ,21                     ,18                  ,1.403
11            ,13                     ,12                  ,1.263
9             ,13                     ,14                  ,1.33
1             ,2                      ,3                   ,2.0
11            ,32                     ,26                  ,1.37
7             ,8                      ,8                   ,1.346
7             ,11                     ,9                   ,1.409
11            ,40                     ,27                  ,1.398
5             ,6                      ,7                   ,1.431
11            ,19                     ,17                  ,1.307
3             ,4                      ,6                   ,1.587
5             ,6                      ,7                   ,1.431
7             ,10                     ,11                  ,1.389
9             ,12                     ,12                  ,1.318
1             ,2                      ,3                   ,2.0
13            ,74                     ,52                  ,1.392
11            ,36                     ,27                  ,1.385
7             ,8                      ,8                   ,1.346
11            ,20                     ,14                  ,1.313
7             ,13                     ,14                  ,1.443
11            ,35                     ,29                  ,1.382
3             ,4                      ,6                   ,1.587
9             ,16                     ,14                  ,1.361
11            ,23                     ,19                  ,1.33
7             ,8                      ,8                   ,1.346
11            ,18                     ,14                  ,1.301
9             ,11                     ,11                  ,1.305
